name,AuthorityId,url,ClearanceAware
Stats_GetMatchCount,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/matches/count,FALSE
Stats_GetMatchHistory,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/matches,FALSE
Stats_GetMatchStats,halostats,https://halostats.svc.halowaypoint.com/hi/matches/{matchId}/stats,FALSE
Stats_GetPlayerMatchProgression,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/matches/{matchId}/progression,FALSE
Stats_MatchPrivacy,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/matches-privacy,FALSE
Stats_ProcessPlayerChallengeAction,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/decks/{deckId}/challenges/{challengeId},FALSE
Stats_PutCampaignProgress,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/campaign/progress,FALSE
Stats_PutPlayerPresenceInMatch,halostats,https://halostats.svc.halowaypoint.com/hi/players/{player}/matches/{matchId}/present-in-match,FALSE
Telemetry_HighPriority,telemetry,https://telemetry-clients.svc.halowaypoint.com/,FALSE
Telemetry_LowPriority,telemetry,https://telemetry-clients.svc.halowaypoint.com/,FALSE
TextModeration_GetSigningKey,textmoderation_anonymous,https://text.svc.halowaypoint.com/hi/moderation-proof-keys//{keyId},FALSE
TextModeration_GetSigningKeys,textmoderation_anonymous,https://text.svc.halowaypoint.com/hi/moderation-proof-keys,FALSE
TextModeration_PostInappropriateMessageReport,textmoderation,https://text.svc.halowaypoint.com/hi/players/{player}/text-message-reports,FALSE
TextModeration_PostTextForModeration,textmoderation,https://text.svc.halowaypoint.com/hi/players/{player}/text-messages,FALSE
Xbl_GetProfileSettingsForSpeechAccessibility,xbl-profile,https://profile.xboxlive.com/users/me/profile/settings,FALSE
XboxLive_TitleManagedStorage,xbl-title-storage,https://titlestorage.xboxlive.com/trustedplatform/users/xuid({xuid})/scids/{scid}/data/thunderhead_campaign_saves,FALSE
XboxLive_TitleManagedStorageFile,xbl-title-storage,"https://titlestorage.xboxlive.com/trustedplatform/users/xuid({xuid})/scids/{scid}/data/thunderhead_campaign_saves/{filename},{type}",FALSE
Xboxlive_QoSEndpoints,gameserverds-xbl,https://gameserverds.xboxlive.com/xplatqosservers,FALSE
